t,ear,ear_ratio,blink_blend,state,score,level,perclos,yawns,yaw_dev,pitch_dev,distracted,microsleep,blink_rate,ground_truth
3.124,0.3589,1.0,0.0776,CALIBRANDO,0.0,0,0.0,0,-1.2,0.3,0,0,0.0,0
3.22,0.3579,1.0484,0.0795,OLHOS ABERTOS,0.0,0,0.0,0,-1.2,0.1,0,0,0.0,0
3.323,0.3587,1.0507,0.0809,OLHOS ABERTOS,0.0,0,0.0,0,-1.3,0.2,0,0,0.0,0
3.413,0.3608,1.0568,0.0806,OLHOS ABERTOS,0.0,0,0.0,0,-1.3,0.1,0,0,0.0,0
3.526,0.3617,1.0594,0.0818,OLHOS ABERTOS,0.0,0,0.0,0,-1.5,0.2,0,0,0.0,0
3.624,0.363,1.0633,0.0802,OLHOS ABERTOS,0.0,0,0.0,0,-1.6,0.0,0,0,0.0,0
3.722,0.3619,1.0601,0.0807,OLHOS ABERTOS,0.0,0,0.0,0,-1.6,0.0,0,0,0.0,0
3.813,0.3613,1.0584,0.0802,OLHOS ABERTOS,0.0,0,0.0,0,-1.6,-0.0,0,0,0.0,0
3.927,0.3611,1.0577,0.0799,OLHOS ABERTOS,0.0,0,0.0,0,-1.7,-0.0,0,0,0.0,0
4.019,0.3616,1.0591,0.0792,OLHOS ABERTOS,0.0,0,0.0,0,-1.7,-0.1,0,0,0.0,0
4.116,0.3632,1.064,0.078,OLHOS ABERTOS,0.0,0,0.0,0,-1.8,-0.1,0,0,0.0,0
4.212,0.3638,1.0656,0.0776,OLHOS ABERTOS,0.0,0,0.0,0,-1.7,0.1,0,0,0.0,0
4.324,0.3633,1.0643,0.0763,OLHOS ABERTOS,0.0,0,0.0,0,-1.7,0.1,0,0,0.0,0
4.42,0.3632,1.064,0.0773,OLHOS ABERTOS,0.0,0,0.0,0,-1.8,0.1,0,0,0.0,0
4.517,0.3645,1.0676,0.0765,OLHOS ABERTOS,0.0,0,0.0,0,-1.8,0.1,0,0,0.0,0
